codePostal;CodeINSEE;BV;Commune;Département;Altitude Moyenne;Superficie;Population;geo_point_2d;geo_shape
1250;1072;1053;CEYZERIAT;AIN;322.0;921.0;2.7;46.1832170988,5.32007207542;"{""type"": ""Polygon"", ""coordinates"": [[[5.344416264874186, 46.171274946912], [5.337603585203442, 46.16659560019913], [5.328973883194347, 46.169781758015816], [5.314463267817861, 46.170681849424966], [5.310639487891562, 46.1685615483292], [5.299604947098718, 46.181235402081036], [5.294455759463226, 46.193933565364276], [5.313578215666118, 46.1979602358467], [5.338390941882818, 46.194794951601246], [5.336370937883878, 46.187881706671845], [5.344416264874186, 46.171274946912]]]}"
1260;1036;1034;BELMONT-LUTHEZIEU;AIN;630.0;1968.0;0.5;45.8847475883,5.65115788055;"{""type"": ""Polygon"", ""coordinates"": [[[5.662036202158229, 45.86102620493378], [5.641957686347995, 45.86156961132331], [5.623327296568928, 45.86680601885512], [5.629524059065992, 45.90561185408367], [5.643607431628065, 45.905400576221794], [5.658094382158825, 45.917837149082985], [5.667335003281328, 45.9111233201439], [5.66997189052869, 45.898681243366774], [5.6726636444367795, 45.88366990728053], [5.679016177470633, 45.87952802775626], [5.677157395951472, 45.86329983581697], [5.662036202158229, 45.86102620493378]]]}"
1270;1029;39475;BEAUPONT;AIN;205.0;1404.0;0.6000000000000001;46.4288360203,5.26003405676;"{""type"": ""Polygon"", ""coordinates"": [[[5.291814032153224, 46.394183753443215], [5.2677362419511145, 46.39909698387701], [5.246070707114713, 46.41368652323303], [5.242725604459211, 46.41944551723462], [5.252380468115799, 46.42014723017357], [5.25379084209211, 46.42338939684502], [5.241503366715103, 46.433774598384964], [5.242593429288231, 46.44698626472053], [5.234242490551472, 46.45468978746702], [5.236259286250153, 46.45778516446399], [5.248003875498371, 46.45937429055117], [5.256270990442735, 46.45187858905346], [5.273663808770646, 46.448587955730396], [5.277963695027222, 46.43514291595096], [5.267284689463506, 46.42868031522876], [5.267440881835414, 46.42522702789678], [5.270832244699606, 46.418754691087685], [5.281760288931442, 46.41188857540601], [5.2777342566607, 46.40248317598122], [5.291814032153224, 46.394183753443215]]]}"
1280;1313;74012;PREVESSIN-MOENS;AIN;458.0;1206.0;5.6;46.25827228,6.07223251859;"{""type"": ""Polygon"", ""coordinates"": [[[6.088131043624351, 46.24704168538192], [6.06994004263253, 46.24160441450372], [6.061121008559375, 46.24485195688958], [6.046050137754391, 46.2312346069298], [6.042062340524667, 46.23331486466016], [6.046616793793152, 46.23932077943047], [6.044123506000647, 46.24913797396149], [6.060089433702043, 46.26148801501071], [6.05662502788074, 46.26389709450344], [6.060379277674764, 46.27015834170767], [6.066539553868559, 46.28432090786688], [6.069544128346435, 46.28597916335883], [6.075791733497108, 46.28289077305044], [6.077745011224975, 46.27324961948623], [6.090911762235973, 46.271910523088465], [6.102719084465885, 46.26173039577651], [6.095689180075439, 46.250458966730555], [6.088131043624351, 46.24704168538192]]]}"
1290;1042;1348;BEY;AIN;199.0;279.0;0.2;46.2191748844,4.84642690241;"{""type"": ""Polygon"", ""coordinates"": [[[4.854666972690771, 46.20664270123301], [4.845960149949332, 46.209288407055965], [4.831321186146429, 46.226242544366144], [4.85488268073499, 46.22796848496632], [4.854666972690771, 46.20664270123301]]]}"
1300;1006;1034;AMBLEON;AIN;589.0;602.0;0.1;45.7494989044,5.59432017366;"{""type"": ""Polygon"", ""coordinates"": [[[5.6148546250532725, 45.734638855121595], [5.610040839855123, 45.73432696285766], [5.5954879435262175, 45.74278978874029], [5.581323665199263, 45.74065535404928], [5.570824041689374, 45.75338266428518], [5.5842922067128775, 45.76258904296401], [5.590633722613163, 45.76001992817223], [5.608527334740112, 45.758418149175974], [5.611401772816045, 45.748972409843965], [5.6148546250532725, 45.734638855121595]]]}"
1310;1065;1053;BUELLAS;AIN;225.0;1024.0;1.6;46.2104135162,5.14487465017;"{""type"": ""Polygon"", ""coordinates"": [[[5.15610736939098, 46.189903671858545], [5.142047051309448, 46.19222336412559], [5.123889271523496, 46.20767064828506], [5.126850441371275, 46.226135930209374], [5.135984608283286, 46.22672144811799], [5.140655154855987, 46.23231777025915], [5.153050619510513, 46.22733653693553], [5.161440894496986, 46.21102571709564], [5.170859762857451, 46.20312623539958], [5.162396023056015, 46.199386969205165], [5.15610736939098, 46.189903671858545]]]}"
1320;1074;1244;CHALAMONT;AIN;292.0;3296.0;2.3;46.0076491739,5.16936568;"{""type"": ""Polygon"", ""coordinates"": [[[5.156858304504969, 45.979843973646325], [5.14786066452087, 45.98800532691937], [5.134010741079306, 45.99142903529122], [5.124679543959678, 46.01117024377307], [5.12460048962433, 46.024855150918874], [5.131533607568987, 46.019896563933706], [5.135905176805177, 46.021588866062004], [5.143768943576904, 46.030259436142785], [5.161159483946297, 46.03673041658575], [5.165477211239793, 46.0501334361412], [5.174349681526222, 46.0533327405558], [5.182656921061047, 46.050092272689824], [5.180168326392814, 46.02975426508816], [5.187331107457236, 46.01377052158869], [5.19961287801037, 46.00339828346455], [5.223269253006296, 46.00499940816501], [5.221404754661132, 45.997883246643745], [5.217315061347804, 45.99198175216694], [5.219621505860628, 45.985720720092836], [5.215159728739416, 45.98467301794841], [5.191918397042411, 45.97963915077002], [5.156858304504969, 45.979843973646325]]]}"
1330;1005;69123;AMBERIEUX-EN-DOMBES;AIN;290.0;1605.0;1.6;45.9961799872,4.91227250796;"{""type"": ""Polygon"", ""coordinates"": [[[4.895580369408855, 45.97991618124606], [4.88094026897057, 45.98591608323602], [4.8772555179614905, 45.99115651625436], [4.886818635664091, 46.002473157809455], [4.887170761437098, 46.0157533448637], [4.909555102365757, 46.01925158083102], [4.919482839934381, 46.00733796746275], [4.94795409786375, 46.000591692249195], [4.947436992423884, 45.98452190478584], [4.942867036044014, 45.979150769524374], [4.9277300295404896, 45.98004000385495], [4.918910474210627, 45.98240566628939], [4.895580369408855, 45.97991618124606]]]}"
1340;1024;1266;ATTIGNAT;AIN;217.0;1894.0;2.9;46.2861802203,5.1795233845;"{""type"": ""Polygon"", ""coordinates"": [[[5.16258508406319, 46.256134979101894], [5.158561309253622, 46.25783283743167], [5.157259289085045, 46.270604049421024], [5.15099067122702, 46.27537085923925], [5.144960330048899, 46.28724019430979], [5.144476901324179, 46.29678885543598], [5.148039217224307, 46.29881159972578], [5.151030922383683, 46.30152062157373], [5.1607938900222035, 46.301245746411624], [5.179523443928306, 46.297348670813676], [5.220203439267755, 46.31500290723193], [5.215361448623936, 46.302341431458146], [5.21726770296012, 46.292611404521864], [5.215346761378641, 46.28592859371535], [5.200808559633789, 46.28435481280466], [5.198802299980567, 46.27775448537166], [5.1905248706536184, 46.27413959577863], [5.182776581274696, 46.26552342461067], [5.16258508406319, 46.256134979101894]]]}"
